session_id,date,session_start,session_source,session_medium,session_campaign,default_channel_group,landing_page,gclid,conversion_event,event_name,event_timestamp
S0001,2026-05-21 01:01:00,2026-05-21 01:01:00,bing,cpc,spring-sale-bing,Paid Search,https://www.harborgoods.com/products/harbor-chair,CjwKCAjw456def,,page_view,
S0002,2026-05-08 02:47:00,2026-05-08 02:47:00,google,cpc,spring-sale-search,Paid Search,https://www.harborgoods.com/collections/sale,CjwKCAjw678pqr,,page_view,
S0003,2026-05-29 08:05:00,2026-05-29 08:05:00,(direct),(none),,Direct,https://www.harborgoods.com/products/coastal-table?utm_source=(direct)&utm_medium=(none),,,page_view,
S0004,2026-05-02 00:05:00,2026-05-02 00:05:00,facebook,paid,spring-sale-social,Paid Social,https://www.harborgoods.com/collections/outdoor,,,page_view,
S0005,2026-05-17 09:01:00,2026-05-17 09:01:00,(direct),(none),,Direct,https://www.harborgoods.com/collections/outdoor,,,page_view,
S0006,2026-05-23 10:44:00,2026-05-23 10:44:00,(direct),(none),,Direct,https://www.harborgoods.com/products/coastal-table?utm_source=(direct)&utm_medium=(none),,,page_view,
S0007,2026-05-08 07:37:00,2026-05-08 07:37:00,newsletter,email,may-newsletter,Email,https://www.harborgoods.com/,,,page_view,
S0008,2026-05-25 12:10:00,2026-05-25 12:10:00,bing,cpc,spring-sale-bing,Paid Search,https://www.harborgoods.com/products/coastal-table,CjwKCAjw789ghi,,page_view,
S0009,2026-05-09 02:13:00,2026-05-09 02:13:00,partnerco,referral,partner-q2,Referral,https://www.harborgoods.com/products/harbor-chair?utm_source=partnerco&utm_medium=referral,,,page_view,
S0010,2026-05-04 01:24:00,2026-05-04 01:24:00,google,cpc,spring-sale-search,Paid Search,https://www.harborgoods.com/products/harbor-chair,CjwKCAjw901stu,,page_view,
S0011,2026-05-12 09:16:00,2026-05-12 09:16:00,partnerco,referral,partner-q2,Referral,https://www.harborgoods.com/,,,page_view,
S0012,2026-05-24 07:34:00,2026-05-24 07:34:00,google,cpc,spring-sale-search,Paid Search,https://www.harborgoods.com/products/coastal-table?utm_source=google&utm_medium=cpc,CjwKCAjw123abc,,page_view,
S0013,2026-05-18 04:53:00,2026-05-18 04:53:00,bing,cpc,spring-sale-bing,Paid Search,https://www.harborgoods.com/pages/contact,CjwKCAjw901stu,,page_view,
S0014,2026-05-12 09:12:00,2026-05-12 09:12:00,bing,cpc,spring-sale-bing,Paid Search,https://www.harborgoods.com/,CjwKCAjw123abc,,page_view,
S0015,2026-05-22 03:49:00,2026-05-22 03:49:00,newsletter,email,may-newsletter,Email,https://www.harborgoods.com/?utm_source=newsletter&utm_medium=email,,,page_view,
S0016,2026-05-28 03:55:00,2026-05-28 03:55:00,google,cpc,spring-sale-search,Paid Search,https://www.harborgoods.com/products/coastal-table,CjwKCAjw789ghi,,page_view,
S0017,2026-05-15 10:53:00,2026-05-15 10:53:00,(direct),(none),may-newsletter,Direct,https://www.harborgoods.com/collections/outdoor,,,page_view,
S0018,2026-05-12 05:13:00,2026-05-12 05:13:00,bing,cpc,spring-sale-bing,Paid Search,https://www.harborgoods.com/products/harbor-chair?utm_source=bing&utm_medium=cpc,CjwKCAjw678pqr,,page_view,
S0019,2026-05-30 10:41:00,2026-05-30 10:41:00,google,cpc,spring-sale-search,Paid Search,https://www.harborgoods.com/pages/contact,CjwKCAjw678pqr,,page_view,
S0020,2026-05-06 08:46:00,2026-05-06 08:46:00,facebook,paid,spring-sale-social,Paid Social,https://www.harborgoods.com/collections/outdoor,,,page_view,
S0021,2026-05-15 06:17:00,2026-05-15 06:17:00,bing,cpc,spring-sale-bing,Paid Search,https://www.harborgoods.com/collections/sale?utm_source=bing&utm_medium=cpc,CjwKCAjw345mno,,page_view,
S0022,2026-05-08 10:20:00,2026-05-08 10:20:00,partnerco,referral,partner-q2,Referral,https://www.harborgoods.com/,,,page_view,
S0023,2026-05-08 00:51:00,2026-05-08 00:51:00,facebook,email,may-newsletter,Email,https://www.harborgoods.com/products/coastal-table,,,page_view,
S0024,2026-05-03 03:58:00,2026-05-03 03:58:00,(direct),(none),,Direct,https://www.harborgoods.com/collections/sale?utm_source=(direct)&utm_medium=(none),,,page_view,
S0025,2026-05-11 03:41:00,2026-05-11 03:41:00,instagram,social,organic-social,Organic Social,https://www.harborgoods.com/products/coastal-table,,,page_view,
S0026,2026-05-29 10:29:00,2026-05-29 10:29:00,facebook,paid,spring-sale-social,Paid Social,https://www.harborgoods.com/products/harbor-chair,,,page_view,
S0027,2026-05-05 03:47:00,2026-05-05 03:47:00,(direct),(none),,Direct,https://www.harborgoods.com/pages/contact?utm_source=(direct)&utm_medium=(none),,,page_view,
S0028,2026-05-09 11:37:00,2026-05-09 11:37:00,instagram,social,organic-social,Organic Social,https://www.harborgoods.com/pages/contact,,,page_view,
S0029,2026-05-13 05:14:00,2026-05-13 05:14:00,facebook,cpc,spring-sale-social,Paid Social,https://www.harborgoods.com/pages/contact,,,page_view,
S0030,2026-05-03 12:03:00,2026-05-03 12:03:00,partnerco,referral,partner-q2,Referral,https://www.harborgoods.com/?utm_source=partnerco&utm_medium=referral,,,page_view,
S0031,2026-05-05 10:10:00,2026-05-05 10:10:00,partnerco,referral,partner-q2,Referral,https://www.harborgoods.com/collections/sale,,,page_view,
S0032,2026-05-14 09:04:00,2026-05-14 09:04:00,instagram,social,organic-social,Organic Social,https://www.harborgoods.com/products/coastal-table,,,page_view,
S0033,2026-05-20 07:33:00,2026-05-20 07:33:00,newsletter,email,may-newsletter,Email,https://www.harborgoods.com/pages/contact?utm_source=newsletter&utm_medium=email,,,page_view,
S0034,2026-05-28 00:43:00,2026-05-28 00:43:00,(direct),(none),spring-sale-bing,Direct,https://www.harborgoods.com/,CjwKCAjw678pqr,,page_view,
S0035,2026-05-29 08:48:00,2026-05-29 08:48:00,newsletter,email,may-newsletter,Email,https://www.harborgoods.com/collections/sale,,,page_view,
S0036,2026-05-11 01:18:00,2026-05-11 01:18:00,instagram,social,organic-social,Organic Social,https://www.harborgoods.com/collections/outdoor?utm_source=instagram&utm_medium=social,,,page_view,
S0037,2026-05-15 00:46:00,2026-05-15 00:46:00,bing,cpc,spring-sale-bing,Paid Search,https://www.harborgoods.com/products/harbor-chair,CjwKCAjw345mno,,page_view,
S0038,2026-05-25 02:32:00,2026-05-25 02:32:00,google,cpc,spring-sale-search,Paid Search,https://www.harborgoods.com/collections/sale,CjwKCAjw789ghi,,page_view,
S0039,2026-05-27 10:32:00,2026-05-27 10:32:00,(direct),(none),,Direct,https://www.harborgoods.com/collections/outdoor?utm_source=(direct)&utm_medium=(none),,,page_view,
S0040,2026-05-05 05:48:00,2026-05-05 05:48:00,facebook,paid,spring-sale-social,Paid Social,https://www.harborgoods.com/pages/contact,,,page_view,
S0041,2026-05-25 08:58:00,2026-05-25 08:58:00,google,cpc,spring-sale-search,Paid Search,https://www.harborgoods.com/pages/contact,CjwKCAjw789ghi,,page_view,
S0042,2026-05-16 00:07:00,2026-05-16 00:07:00,newsletter,email,may-newsletter,Email,https://www.harborgoods.com/products/harbor-chair?utm_source=newsletter&utm_medium=email,,,page_view,
S0043,2026-05-08 00:15:00,2026-05-08 00:15:00,(direct),(none),,Direct,https://www.harborgoods.com/,,,page_view,
S0044,2026-05-03 11:31:00,2026-05-03 11:31:00,partnerco,referral,partner-q2,Referral,https://www.harborgoods.com/,,,page_view,
S0045,2026-05-25 08:49:00,2026-05-25 08:49:00,facebook,paid,spring-sale-social,Paid Social,https://www.harborgoods.com/collections/outdoor?utm_source=facebook&utm_medium=paid,,,page_view,
S0046,2026-05-22 07:35:00,2026-05-22 07:35:00,FaceBook,paid,spring-sale-social,Paid Social,https://www.harborgoods.com/products/harbor-chair,,,page_view,
S0047,2026-05-28 09:27:00,2026-05-28 09:27:00,facebook,paid,spring-sale-social,Paid Social,https://www.harborgoods.com/pages/contact,,,page_view,
S0048,2026-05-25 11:44:00,2026-05-25 11:44:00,facebook,paid,spring-sale-social,Paid Social,https://www.harborgoods.com/collections/sale?utm_source=facebook&utm_medium=paid,,,page_view,
S0049,2026-05-10 06:42:00,2026-05-10 06:42:00,bing,cpc,spring-sale-bing,Paid Search,https://www.harborgoods.com/products/harbor-chair,CjwKCAjw012jkl,,page_view,
S0050,2026-05-29 08:28:00,2026-05-29 08:28:00,google,cpc,spring-sale-search,Paid Search,https://www.harborgoods.com/collections/outdoor,CjwKCAjw456def,,page_view,
